SPL (dB)
-187.19440087404428
-186.49306970334197
-186.97611649908754
-187.92397969286955
-187.10576627073124
-186.89178482371892
-187.92397969286955
-187.7679289595638
-187.06211821670672
-186.809059564059
-186.76828043985464
-186.4551398131706
-186.6878532373005
-186.89178482371892
-186.60888842884015
-186.34329814364548
-186.6878532373005
-187.19440087404428
-187.10576627073124
-187.66692569052054
-187.92397969286955
-187.5682181502576
-186.933745969655
-186.56993799000492
-187.19440087404428
-187.92397969286955
-186.97611649908754
-186.85022522600732
-187.06211821670672
-186.60888842884015
-186.56993799000492
-186.6481913651245
-186.76828043985464
-186.933745969655
-186.76828043985464
-186.809059564059
-187.0189044788803
-187.37728873116737
-187.71713370427105
-187.66692569052054
-187.19440087404428
-186.3802595992451
-186.72788066183725
-187.81932535608792
-187.97726802792025
-187.10576627073124
-186.72788066183725
-186.809059564059
-186.49306970334197
-186.72788066183725
-186.85022522600732
-186.6878532373005
-186.30664860278142
-186.6878532373005
-187.37728873116737
-187.06211821670672
-187.5682181502576
-187.71713370427105
-187.5196931223135
-187.06211821670672
-186.53133378187252
-187.10576627073124
-187.87133729294598
-185.04814697350218
-180.4439913613341
-178.2654261603862
-178.23118463094983
-178.21983052038067
-178.8864645211089
-179.52628762777766
-179.730145565641
-180.0985543293734
-180.0985543293734
-181.09614726044214
-180.35965968596548
-179.64272743941476
-180.3043347999659
-180.5687696295853
-180.0292044355201
-180.53965480667347
-180.98756798456006
-181.0851663574516
-181.15147214644173
-180.1779199966796
-179.8854131866841
-179.23739197504386
-178.2539822938988
-177.06646333444692
-178.04208930319945
-169.07009165370147
-168.6161040204433
-169.44058629367078
-166.32933486034835
-165.31338292783255
-164.983352000787
-165.35480852332813
-164.07227821937286
-159.23868215027315
-159.1938234707372
-157.47963382306935
-157.35242314238735
-164.55060478495318
-168.67677551158803
-167.49899290829478
-167.4030490617548
-167.23985829995996
-167.6829291902289
-167.34611301440611
-167.30871937065214
-168.59380068847415
-168.17807653933625
-167.98155947571905
-168.3080326159361
-167.522106539891
-165.84291036107635
-163.88190247800486
-164.20249659939282
-166.05668971658207
-165.96093694660343
-165.78621144662716
-165.9010240760733
-165.1094886332861
-164.5413587787087
-162.70765635306958
-162.86322130597102
-164.1756024388121
-163.89863992937575
-164.18656411028337
-163.9617735253468
-163.9613481634641
-163.8777281747048
-164.13601368832354
-163.6997229291575
-161.60941825977716
-153.12590997942604
-136.5727882070918
-133.49780518920468
-133.5154941480437
-133.51817245994945
-132.41105058052835
-131.41346820381042
-131.5086115445624
-132.10550698200302
-132.8707310018081
-133.0145659291715
-132.27108734099673
-132.28161606413937
-132.69934650527313
-133.44341673676556
-135.31461851140213
-136.4571036458212
-136.497746219414
-136.03067394844746
-134.63561783643232
-135.17231872144097
-137.1015087629161
-137.67096700812775
-139.02994043635874
-141.93987973694755
-143.75339845617896
-144.84939763551293
-147.54709166350798
-150.23911474406225
-154.4495371229584
-162.31660493153538
-168.7929517448575
-168.58515800936505
-168.2602726884424
-168.48698406893985
-168.3155608907257
-165.69554659796793
-164.8962371059517
-165.52976403018377
-164.84328329885432
-165.19679257078278
-166.0992764342581
-164.14620996012673
-163.22809411178855
-163.85048524909993
-162.15874027326572
-159.61019880113017
-156.54877898529693
-152.7549193380739
-150.29727638188072
-148.00789973224073
-148.03444961377286
-151.43337510995644
-154.04704364632235
-152.88658757774863
-151.43723865984748
-153.22310323177763
-161.26062657286568
-156.65498746626997
-151.22967692944354
-146.32523524809548
-139.37819643626352
-135.44822734201676
-133.7857237256856
-134.00586460154074
-135.6694322201297
-136.61904361192984
-136.77599662641688
-136.30678254272485
-135.0031011423077
-134.25422864990676
-134.35314286586538
-134.72195480419842
-133.66900072728524
-132.02757254649782
-130.89329374982455
-130.34756011166405
-130.9639427229394
-131.7367260546407
-130.33350461775427
-129.135672362882
-129.1329589102146
-129.93818926276944
-130.6499470509657
-130.1295550198806
-129.89995692468864
-130.49055537870444
-131.83493677780535
-133.15517461635415
-132.87012287984882
-132.95101751142167
-133.5676121328095
-134.4653295551414
-134.94590421282413
-133.8849110895659
-133.37120572684682
-133.52216198440874
-133.83302340620705
-133.79319048498135
-133.21598947945978
-132.7629844668257
